Nodes
1, 0
2, 0
3, 0
4, 0
5, 0
6, 1
7, 0
8, 0
9, 0
10, 0
11, 1
12, 0
13, 0
14, 1
15, 0
16, 0
17, 0
18, 0
19, 1
20, 0
21, 1
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 1
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 1
43, 0
44, 0
45, 0
46, 1
47, 0
48, 0
49, 0
50, 0

Fibers
1, 1, 2, 68
2, 2, 1, 68
3, 1, 5, 148
4, 5, 1, 148
5, 2, 7, 114
6, 7, 2, 114
7, 6, 7, 94
8, 7, 6, 94
9, 3, 7, 140
10, 7, 3, 140
11, 2, 6, 86
12, 6, 2, 86
13, 4, 8, 84
14, 8, 4, 84
15, 5, 9, 55
16, 9, 5, 55
17, 9, 11, 100
18, 11, 9, 100
19, 6, 11, 132
20, 11, 6, 132
21, 6, 12, 148
22, 12, 6, 148
23, 7, 13, 167
24, 13, 7, 167
25, 7, 14, 181
26, 14, 7, 181
27, 3, 14, 175
28, 14, 3, 175
29, 4, 17, 219
30, 17, 4, 219
31, 8, 17, 197
32, 17, 8, 197
33, 8, 10, 97
34, 10, 8, 97
35, 10, 15, 47
36, 15, 10, 47
37, 10, 11, 114
38, 11, 10, 114
39, 11, 12, 55
40, 12, 11, 55
41, 12, 13, 77
42, 13, 12, 77
43, 13, 14, 128
44, 14, 13, 128
45, 15, 16, 63
46, 16, 15, 63
47, 12, 16, 138
48, 16, 12, 138
49, 15, 19, 50
50, 19, 15, 50
51, 16, 28, 131
52, 28, 16, 131
53, 12, 20, 126
54, 20, 12, 126
55, 13, 21, 101
56, 21, 13, 101
57, 14, 21, 150
58, 21, 14, 150
59, 14, 25, 165
60, 25, 14, 165
61, 11, 16, 91
62, 16, 11, 91
63, 17, 18, 35
64, 18, 17, 35
65, 18, 22, 32
66, 22, 18, 32
67, 22, 27, 33
68, 27, 22, 33
69, 17, 26, 105
70, 26, 17, 105
71, 26, 27, 64
72, 27, 26, 64
73, 19, 20, 143
74, 20, 19, 143
75, 20, 23, 113
76, 23, 20, 113
77, 21, 23, 102
78, 23, 21, 102
79, 23, 25, 190
80, 25, 23, 190
81, 23, 24, 134
82, 24, 23, 134
83, 24, 25, 62
84, 25, 24, 62
85, 21, 25, 100
86, 25, 21, 100
87, 21, 33, 165
88, 33, 21, 165
89, 24, 33, 138
90, 33, 24, 138
91, 19, 28, 81
92, 28, 19, 81
93, 28, 29, 56
94, 29, 28, 56
95, 20, 29, 100
96, 29, 20, 100
97, 20, 30, 86
98, 30, 20, 86
99, 29, 30, 71
100, 30, 29, 71
101, 28, 31, 65
102, 31, 28, 65
103, 27, 31, 79
104, 31, 27, 79
105, 29, 32, 52
106, 32, 29, 52
107, 30, 32, 82
108, 32, 30, 82
109, 30, 36, 86
110, 36, 30, 86
111, 31, 32, 82
112, 32, 31, 82
113, 32, 35, 27
114, 35, 32, 27
115, 26, 34, 120
116, 34, 26, 120
117, 31, 34, 95
118, 34, 31, 95
119, 31, 39, 102
120, 39, 31, 102
121, 35, 39, 80
122, 39, 35, 80
123, 38, 39, 60
124, 39, 38, 60
125, 34, 38, 64
126, 38, 34, 64
127, 38, 41, 104
128, 41, 38, 104
129, 39, 41, 66
130, 41, 39, 66
131, 40, 41, 53
132, 41, 40, 53
133, 35, 40, 44
134, 40, 35, 44
135, 23, 36, 152
136, 36, 23, 152
137, 36, 37, 91
138, 37, 36, 91
139, 33, 37, 66
140, 37, 33, 66
141, 36, 42, 125
142, 42, 36, 125
143, 36, 45, 173
144, 45, 36, 173
145, 37, 46, 151
146, 46, 37, 151
147, 37, 43, 89
148, 43, 37, 89
149, 43, 47, 109
150, 47, 43, 109
151, 43, 46, 105
152, 46, 43, 105
153, 46, 47, 145
154, 47, 46, 145
155, 45, 46, 56
156, 46, 45, 56
157, 46, 50, 104
158, 50, 46, 104
159, 49, 50, 86
160, 50, 49, 86
161, 48, 49, 105
162, 49, 48, 105
163, 41, 48, 120
164, 48, 41, 120
165, 41, 42, 62
166, 42, 41, 62
167, 42, 44, 73
168, 44, 42, 73
169, 42, 49, 124
170, 49, 42, 124
171, 44, 45, 67
172, 45, 44, 67
173, 18, 19, 32
174, 19, 18, 32
175, 8, 9, 68
176, 9, 8, 68
